year,actress,film,is_winner,is_tie,category,num_films
1952,Vivien Leigh,A Streetcar Named Desire,true,false,Best British Actress,1
1952,Phyllis Calvert,Mandy,false,false,Best British Actress,1
1952,Celia Johnson,I Believe in You,false,false,Best British Actress,1
1952,Ann Todd,The Sound Barrier,false,false,Best British Actress,1
1952,Simone Signoret,Golden Helmet,true,false,Best Foreign Actress,1
1952,Edwige Feuillère,Olivia,false,false,Best Foreign Actress,1
1952,Katharine Hepburn,Pat and Mike,false,false,Best Foreign Actress,1
1952,Judy Holliday,The Marrying Kind,false,false,Best Foreign Actress,1
1952,Nicole Stéphane,The Strange Ones,false,false,Best Foreign Actress,1
1953,Audrey Hepburn,Roman Holiday,true,false,Best British Actress,1
1953,Celia Johnson,The Captain's Paradise,false,false,Best British Actress,1
1953,Leslie Caron,Lili,true,false,Best Foreign Actress,1
1953,Shirley Booth,"Come Back, Little Sheba",false,false,Best Foreign Actress,1
1953,Marie Powers,The Medium,false,false,Best Foreign Actress,1
1953,Maria Schell,The Heart of the Matter,false,false,Best Foreign Actress,1
1954,Yvonne Mitchell,The Divided Heart,true,false,Best British Actress,1
1954,Brenda de Banzie,Hobson's Choice,false,false,Best British Actress,1
1954,Audrey Hepburn,Sabrina,false,false,Best British Actress,1
1954,Margaret Leighton,Carrington V.C.,false,false,Best British Actress,1
1954,Noelle Middleton,Carrington V.C.,false,false,Best British Actress,1
1954,Cornell Borchers,The Divided Heart,true,false,Best Foreign Actress,1
1954,Shirley Booth,About Mrs. Leslie,false,false,Best Foreign Actress,1
1954,Judy Holliday,Phffft,false,false,Best Foreign Actress,1
1954,Grace Kelly,Dial M for Murder,false,false,Best Foreign Actress,1
1954,Gina Lollobrigida,"Bread, Love and Dreams",false,false,Best Foreign Actress,1
1955,Katie Johnson,The Ladykillers,true,false,Best British Actress,1
1955,Margaret Johnston,Touch and Go,false,false,Best British Actress,1
1955,Deborah Kerr,The End of the Affair,false,false,Best British Actress,1
