year,actress,film,is_winner,is_tie,num_films
1968,Billie Whitelaw,Charlie Bubbles / Twisted Nerve,true,false,2
1968,Pat Heywood,Romeo and Juliet,false,false,1
1968,Virginia Maskell,Interlude,false,false,1
1968,Simone Signoret,Games,false,false,1
1969,Celia Johnson,The Prime of Miss Jean Brodie,true,false,1
1969,Peggy Ashcroft,Three into Two Won't Go,false,false,1
1969,Pamela Franklin,The Prime of Miss Jean Brodie,false,false,1
1969,Mary Wimbush,Oh! What a Lovely War,false,false,1
1970,Susannah York,"They Shoot Horses, Don't They?",true,false,1
1970,Evin Crowley,Ryan's Daughter,false,false,1
1970,Estelle Parsons,Watermelon Man,false,false,1
1970,Maureen Stapleton,Airport,false,false,1
1971,Margaret Leighton,The Go-Between,true,false,1
1971,Jane Asher,Deep End,false,false,1
1971,Georgia Brown,The Raging Moon,false,false,1
1971,Georgia Engel,Taking Off,false,false,1
1972,Cloris Leachman,The Last Picture Show,true,false,1
1972,Marisa Berenson,Cabaret,false,false,1
1972,Eileen Brennan,The Last Picture Show,false,false,1
1972,Shelley Winters,The Poseidon Adventure,false,false,1
1973,Valentina Cortese,Day for Night,true,false,1
1973,Rosemary Leach,That'll Be the Day,false,false,1
1973,Delphine Seyrig,The Day of the Jackal,false,false,1
1973,Ingrid Thulin,Cries and Whispers,false,false,1
1974,Ingrid Bergman,Murder on the Orient Express,true,false,1
1974,Sylvia Sidney,"Summer Wishes, Winter Dreams",false,false,1
1974,Sylvia Syms,The Tamarind Seed,false,false,1
1974,Cindy Williams,American Graffiti,false,false,1
1975,Diane Ladd,Alice Doesn't Live Here Anymore,true,false,1
1975,Ronee Blakley,Nashville,false,false,1
1975,Lelia Goldoni,Alice Doesn't Live Here Anymore,false,false,1
1975,Gwen Welles,Nashville,false,false,1
1976,Jodie Foster,Bugsy Malone / Taxi Driver,true,false,2
1976,Annette Crosbie,The Slipper and the Rose,false,false,1
1976,Vivien Merchant,The Homecoming,false,false,1
1976,Billie Whitelaw,The Omen,false,false,1
1977,Jenny Agutter,Equus,true,false,1
1977,Geraldine Chaplin,Welcome to L.A.,false,false,1
1977,Joan Plowright,Equus,false,false,1
1977,Shelley Winters,"Next Stop, Greenwich Village",false,false,1
1978,Geraldine Page,Interiors,true,false,1
1978,Angela Lansbury,Death on the Nile / Maggie Smith,false,false,2
1978,Mona Washbourne,Stevie,false,false,1
1979,Rachel Roberts,Yanks,true,false,1
1979,Lisa Eichhorn,The Europeans,false,false,1
1979,Mariel Hemingway,Manhattan / Meryl Streep,false,false,2
,1980 ( 34th ),Not awarded,false,false,1
,1981 ( 35th ),Not awarded,false,false,1
1982,Rohini Hattangadi,Gandhi,true,false,1
1982,Maureen Stapleton,Reds,true,false,1
1982,Candice Bergen,Gandhi,false,false,1
1982,Jane Fonda,On Golden Pond,false,false,1
1983,Jamie Lee Curtis,Trading Places,true,false,1
1983,Teri Garr,Tootsie,false,false,1
