year,actor,film,is_winner,is_tie
1995,Kevin Bacon,Murder in the First,true,false
1996,Geoffrey Rush,Shine,true,false
1997,Jack Nicholson,As Good as It Gets,true,false
1998,Ian McKellen,Gods and Monsters,true,false
1999,Russell Crowe,The Insider,true,false
2000,Russell Crowe,Gladiator,true,false
2001,Russell Crowe,A Beautiful Mind,true,false
2001,Sean Penn,I Am Sam,false,false
2001,Will Smith,Ali,false,false
2002,Daniel Day-Lewis,Gangs of New York,true,true
2002,Jack Nicholson,About Schmidt,true,true
2002,Robin Williams,One Hour Photo,false,false
2003,Sean Penn,Mystic River,true,false
2003,Russell Crowe,Master and Commander: The Far Side of the World,false,false
2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,false,false
2003,Ben Kingsley,House of Sand and Fog,false,false
2003,Bill Murray,Lost in Translation,false,false
2004,Jamie Foxx,Ray,true,false
2004,Javier Bardem,The Sea Inside,false,false
2004,Don Cheadle,Hotel Rwanda,false,false
2004,Johnny Depp,Finding Neverland,false,false
2004,Leonardo DiCaprio,The Aviator,false,false
2004,Paul Giamatti,Sideways,false,false
2005,Philip Seymour Hoffman,Capote,true,false
2005,Russell Crowe,Cinderella Man,false,false
2005,Terrence Howard,Hustle & Flow,false,false
2005,Heath Ledger,Brokeback Mountain,false,false
2005,Joaquin Phoenix,Walk the Line,false,false
2005,David Strathairn,"Good Night, and Good Luck.",false,false
2006,Forest Whitaker,The Last King of Scotland,true,false
2006,Leonardo DiCaprio,Blood Diamond,false,false
2006,Leonardo DiCaprio,The Departed,false,false
2006,Ryan Gosling,Half Nelson,false,false
2006,Peter O'Toole,Venus,false,false
2006,Will Smith,The Pursuit of Happyness,false,false
2007,Daniel Day-Lewis,There Will Be Blood,true,false
2007,George Clooney,Michael Clayton,false,false
2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,false,false
2007,Ryan Gosling,Lars and the Real Girl,false,false
2007,Emile Hirsch,Into the Wild,false,false
2007,Viggo Mortensen,Eastern Promises,false,false
2008,Sean Penn,Milk,true,false
2008,Clint Eastwood,Gran Torino,false,false
2008,Richard Jenkins,The Visitor,false,false
2008,Frank Langella,Frost/Nixon,false,false
2008,Brad Pitt,The Curious Case of Benjamin Button,false,false
2008,Mickey Rourke,The Wrestler,false,false
2009,Jeff Bridges,Crazy Heart,true,false
2009,George Clooney,Up in the Air,false,false
2009,Colin Firth,A Single Man,false,false
2009,Morgan Freeman,Invictus,false,false
2009,Viggo Mortensen,The Road,false,false
2009,Jeremy Renner,The Hurt Locker,false,false
2010,Colin Firth,The King's Speech,true,false
2010,Jeff Bridges,True Grit,false,false
2010,Robert Duvall,Get Low,false,false
2010,Jesse Eisenberg,The Social Network,false,false
2010,James Franco,127 Hours,false,false
2010,Ryan Gosling,Blue Valentine,false,false
2011,George Clooney,The Descendants,true,false
2011,Leonardo DiCaprio,J. Edgar,false,false
2011,Jean Dujardin,The Artist,false,false
2011,Michael Fassbender,Shame,false,false
2011,Ryan Gosling,Drive,false,false
2011,Brad Pitt,Moneyball,false,false
2012,Daniel Day-Lewis,Lincoln,true,false
2012,Bradley Cooper,Silver Linings Playbook,false,false
2012,John Hawkes,The Sessions,false,false
2012,Hugh Jackman,Les Misérables,false,false
2012,Joaquin Phoenix,The Master,false,false
2012,Denzel Washington,Flight,false,false
2013,Matthew McConaughey,Dallas Buyers Club,true,false
2013,Christian Bale,American Hustle,false,false
2013,Bruce Dern,Nebraska,false,false
2013,Chiwetel Ejiofor,12 Years a Slave,false,false
2013,Tom Hanks,Captain Phillips,false,false
2013,Robert Redford,All Is Lost,false,false
2014,Michael Keaton,Birdman,true,false
2014,Benedict Cumberbatch,The Imitation Game,false,false
2014,Ralph Fiennes,The Grand Budapest Hotel,false,false
