year,film,director,is_winner,is_tie
1995,Sense and Sensibility,Ang Lee,true,false
1996,Fargo,Joel Coen and Ethan Coen,true,false
1996,Big Night,Campbell Scott and Stanley Tucci,false,false
1996,The Crucible,Nicholas Hytner,false,false
1996,The English Patient,Anthony Minghella,false,false
1996,Evita,Alan Parker,false,false
1996,Hamlet,Kenneth Branagh,false,false
1996,Jerry Maguire,Cameron Crowe,false,false
1996,Lone Star,John Sayles,false,false
1996,The People vs. Larry Flynt,Milos Forman,false,false
1996,Shine,Scott Hicks,false,false
1997,L.A. Confidential,Curtis Hanson,true,false
1997,Amistad,Steven Spielberg,false,false
1997,As Good as It Gets,James L. Brooks,false,false
1997,Boogie Nights,Paul Thomas Anderson,false,false
1997,Donnie Brasco,Mike Newell,false,false
1997,Good Will Hunting,Gus Van Sant,false,false
1997,The Full Monty,Peter Cattaneo,false,false
1997,Titanic,James Cameron,false,false
1997,Wag the Dog,Barry Levinson,false,false
1997,The Wings of the Dove,Iain Softley,false,false
1998,Saving Private Ryan,Steven Spielberg,true,false
1998,Elizabeth,Shekhar Kapur,false,false
1998,Gods and Monsters,Bill Condon,false,false
1998,Life Is Beautiful,Roberto Benigni,false,false
1998,Out of Sight,Steven Soderbergh,false,false
1998,Pleasantville,Gary Ross,false,false
1998,Shakespeare in Love,John Madden,false,false
1998,A Simple Plan,Sam Raimi,false,false
1998,The Thin Red Line,Terrence Malick,false,false
1998,The Truman Show,Peter Weir,false,false
1999,American Beauty,Sam Mendes,true,false
1999,Being John Malkovich,Spike Jonze,false,false
1999,The Cider House Rules,Lasse Hallström,false,false
1999,The Green Mile,Frank Darabont,false,false
1999,The Insider,Michael Mann,false,false
1999,Magnolia,Paul Thomas Anderson,false,false
1999,Man on the Moon,Milos Forman,false,false
1999,The Sixth Sense,M. Night Shyamalan,false,false
1999,The Talented Mr. Ripley,Anthony Minghella,false,false
1999,Three Kings,David O. Russell,false,false
2000,Gladiator,Ridley Scott,true,false
2000,Almost Famous,Cameron Crowe,false,false
2000,Billy Elliot,Stephen Daldry,false,false
2000,Cast Away,Robert Zemeckis,false,false
2000,"Crouching Tiger, Hidden Dragon",Ang Lee,false,false
2000,Erin Brockovich,Steven Soderbergh,false,false
2000,Quills,Philip Kaufman,false,false
2000,Thirteen Days,Roger Donaldson,false,false
2000,Traffic,Steven Soderbergh,false,false
2000,Wonder Boys,Curtis Hanson,false,false
2000,You Can Count on Me,Kenneth Lonergan,false,false
2001,A Beautiful Mind,Ron Howard,true,false
2001,Ali,Michael Mann,false,false
2001,In the Bedroom,Todd Field,false,false
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,false,false
2001,The Man Who Wasn't There,Joel Coen,false,false
2001,Memento,Christopher Nolan,false,false
2001,Moulin Rouge!,Baz Luhrmann,false,false
2001,Mulholland Drive,David Lynch,false,false
2001,The Shipping News,Lasse Hallström,false,false
2001,Shrek,Andrew Adamson and Vicky Jenson,false,false
2002,Chicago,Rob Marshall,true,false
2002,About Schmidt,Alexander Payne,false,false
2002,Adaptation,Spike Jonze,false,false
2002,Catch Me If You Can,Steven Spielberg,false,false
2002,Far from Heaven,Todd Haynes,false,false
2002,Gangs of New York,Martin Scorsese,false,false
