year,actress,film,is_winner,is_tie
1995,Mira Sorvino,Mighty Aphrodite,true,false
1996,Joan Allen,The Crucible,true,false
1997,Joan Cusack,In & Out,true,false
1998,Joan Allen,Pleasantville,true,true
1998,Kathy Bates,Primary Colors,true,true
1999,Angelina Jolie,"Girl, Interrupted",true,false
2000,Frances McDormand,Almost Famous / Wonder Boys,true,false
2001,Jennifer Connelly,A Beautiful Mind,true,false
2001,Cameron Diaz,Vanilla Sky,false,false
2001,Marisa Tomei,In the Bedroom,false,false
2002,Catherine Zeta-Jones,Chicago,true,false
2002,Kathy Bates,About Schmidt,false,false
2002,Meryl Streep,Adaptation,false,false
2003,Renée Zellweger,Cold Mountain,true,false
2003,Patricia Clarkson,Pieces of April,false,false
2003,Marcia Gay Harden,Mystic River,false,false
2003,Holly Hunter,Thirteen,false,false
2003,Scarlett Johansson,Lost in Translation,false,false
2004,Virginia Madsen,Sideways,true,false
2004,Cate Blanchett,The Aviator,false,false
2004,Laura Linney,Kinsey,false,false
2004,Natalie Portman,Closer,false,false
2004,Kate Winslet,Finding Neverland,false,false
2005,Amy Adams,Junebug,true,true
2005,Michelle Williams,Brokeback Mountain,true,true
2005,Maria Bello,A History of Violence,false,false
2005,Catherine Keener,Capote,false,false
2005,Frances McDormand,North Country,false,false
2005,Rachel Weisz,The Constant Gardener,false,false
2006,Jennifer Hudson,Dreamgirls,true,false
2006,Adriana Barraza,Babel,false,false
2006,Rinko Kikuchi,Babel,false,false
2006,Cate Blanchett,Notes on a Scandal,false,false
2006,Catherine O'Hara,For Your Consideration,false,false
2006,Emma Thompson,Stranger than Fiction,false,false
2007,Amy Ryan,Gone Baby Gone,true,false
2007,Cate Blanchett,I'm Not There,false,false
2007,Catherine Keener,Into the Wild,false,false
2007,Vanessa Redgrave,Atonement,false,false
2007,Tilda Swinton,Michael Clayton,false,false
2008,Kate Winslet,The Reader,true,false
2008,Penélope Cruz,Vicky Cristina Barcelona,false,false
2008,Viola Davis,Doubt,false,false
2008,Vera Farmiga,Nothing but the Truth,false,false
2008,Taraji P. Henson,The Curious Case of Benjamin Button,false,false
2008,Marisa Tomei,The Wrestler,false,false
2009,Mo'Nique,Precious,true,false
2009,Marion Cotillard,Nine,false,false
2009,Vera Farmiga,Up in the Air,false,false
2009,Anna Kendrick,Up in the Air,false,false
2009,Julianne Moore,A Single Man,false,false
2009,Samantha Morton,The Messenger,false,false
2010,Melissa Leo,The Fighter,true,false
2010,Amy Adams,The Fighter,false,false
2010,Helena Bonham Carter,The King's Speech,false,false
2010,Mila Kunis,Black Swan,false,false
2010,Hailee Steinfeld,True Grit,false,false
2010,Jacki Weaver,Animal Kingdom,false,false
2011,Octavia Spencer,The Help,true,false
2011,Bérénice Bejo,The Artist,false,false
2011,Jessica Chastain,The Help,false,false
2011,Melissa McCarthy,Bridesmaids,false,false
2011,Carey Mulligan,Shame,false,false
2011,Shailene Woodley,The Descendants,false,false
2012,Anne Hathaway,Les Misérables,true,false
2012,Amy Adams,The Master,false,false
2012,Judi Dench,Skyfall,false,false
2012,Ann Dowd,Compliance,false,false
2012,Sally Field,Lincoln,false,false
2012,Helen Hunt,The Sessions,false,false
2013,Lupita Nyong'o,12 Years a Slave,true,false
2013,Scarlett Johansson,Her,false,false
2013,Jennifer Lawrence,American Hustle,false,false
2013,Julia Roberts,August: Osage County,false,false
2013,June Squibb,Nebraska,false,false
2013,Oprah Winfrey,The Butler,false,false
2014,Patricia Arquette,Boyhood,true,false
2014,Jessica Chastain,A Most Violent Year,false,false
2014,Keira Knightley,The Imitation Game,false,false
2014,Emma Stone,Birdman,false,false
2014,Meryl Streep,Into the Woods,false,false
2014,Tilda Swinton,Snowpiercer,false,false
2015,Alicia Vikander,The Danish Girl,true,false
2015,Jennifer Jason Leigh,The Hateful Eight,false,false
