year_from,year_to,actor,film,is_winner,is_tie
1950,1951,José Ferrer,Cyrano de Bergerac,true,false
1951,1952,Fredric March,Death of a Salesman,true,false
1952,1953,Gary Cooper,High Noon,true,false
1953,1954,Spencer Tracy,The Actress,true,false
1954,1955,Marlon Brando,On the Waterfront,true,false
1955,1956,Ernest Borgnine,Marty,true,false
1956,1957,Kirk Douglas,Lust for Life,true,false
1957,1958,Alec Guinness,The Bridge on the River Kwai,true,false
1958,1959,David Niven,Separate Tables,true,false
1959,1960,Anthony Franciosa,Career,true,false
1960,1961,Burt Lancaster,Elmer Gantry,true,false
1961,1962,Maximilian Schell,Judgment at Nuremberg,true,false
1962,1963,Gregory Peck,To Kill a Mockingbird,true,false
1963,1964,Sidney Poitier,Lilies of the Field,true,false
1964,1965,Peter O'Toole,Becket,true,false
1965,1966,Omar Sharif,Doctor Zhivago,true,false
1966,1967,Paul Scofield,A Man for All Seasons,true,false
1967,1968,Rod Steiger,In the Heat of the Night,true,false
1968,1969,Peter O'Toole,The Lion in Winter,true,false
1969,1970,John Wayne,True Grit,true,false
1970,1971,George C. Scott,Patton,true,false
1971,1972,Gene Hackman,The French Connection,true,false
1972,1973,Marlon Brando,The Godfather,true,false
1973,1974,Al Pacino,Serpico,true,false
1974,1975,Jack Nicholson,Chinatown,true,false
1975,1976,Jack Nicholson,One Flew over the Cuckoo's Nest,true,false
1976,1977,Peter Finch,Network,true,false
1977,1978,Richard Burton,Equus,true,false
1978,1979,Jon Voight,Coming Home,true,false
1979,1980,Dustin Hoffman,Kramer vs. Kramer,true,false
1980,1981,Robert De Niro,Raging Bull,true,false
1981,1982,Henry Fonda,On Golden Pond,true,false
1982,1983,Ben Kingsley,Gandhi,true,false
1983,1984,Tom Courtenay,The Dresser,true,true
1983,1984,Robert Duvall,Tender Mercies,true,true
1984,1985,F. Murray Abraham,Amadeus,true,false
1985,1986,Jon Voight,Runaway Train,true,false
1986,1987,Bob Hoskins,Mona Lisa,true,false
1987,1988,Michael Douglas,Wall Street,true,false
1988,1989,Dustin Hoffman,Rain Man,true,false
1989,1990,Tom Cruise,Born on the Fourth of July,true,false
1990,1991,Jeremy Irons,Reversal of Fortune,true,false
1991,1992,Nick Nolte,The Prince of Tides,true,false
1992,1993,Al Pacino,Scent of a Woman,true,false
1993,1994,Tom Hanks,Philadelphia,true,false
1994,1995,Tom Hanks,Forrest Gump,true,false
1995,1996,Nicolas Cage,Leaving Las Vegas,true,false
1996,1997,Geoffrey Rush,Shine,true,false
1997,1998,Peter Fonda,Ulee's Gold,true,false
1998,1999,Jim Carrey,The Truman Show,true,false
1999,2000,Denzel Washington,The Hurricane,true,false
2000,2001,Tom Hanks,Cast Away,true,false
2001,2002,Russell Crowe,A Beautiful Mind,true,false
2002,2003,Jack Nicholson,About Schmidt,true,false
2003,2004,Sean Penn,Mystic River,true,false
2004,2005,Leonardo DiCaprio,The Aviator,true,false
2005,2006,Philip Seymour Hoffman,Capote,true,false
2006,2007,Forest Whitaker,The Last King of Scotland,true,false
2007,2008,Daniel Day-Lewis,There Will Be Blood,true,false
2008,2009,Mickey Rourke,The Wrestler,true,false
2009,2010,Jeff Bridges,Crazy Heart,true,false
2010,2011,Colin Firth,The King's Speech,true,false
2011,2012,George Clooney,The Descendants,true,false
2012,2013,Daniel Day-Lewis,Lincoln,true,false
2013,2014,Matthew McConaughey,Dallas Buyers Club,true,false
2014,2015,Eddie Redmayne,The Theory of Everything,true,false
2015,2016,Leonardo DiCaprio,The Revenant,true,false
2016,2017,Casey Affleck,Manchester by the Sea,true,false
2017,2018,Gary Oldman,Darkest Hour,true,false
2018,2019,Rami Malek,Bohemian Rhapsody,true,false
2019,2020,Joaquin Phoenix,Joker,true,false
2020,2021,Chadwick Boseman,Ma Rainey's Black Bottom,true,false
2021,2022,Will Smith,King Richard,true,false
2022,2023,Austin Butler,Elvis,true,false
2023,2024,Cillian Murphy,Oppenheimer,true,false
2024,2025,Adrien Brody,The Brutalist,true,false
2025,2026,Wagner Moura,The Secret Agent,true,false
