year_from,year_to,film,is_winner,is_tie
1950,1951,Sunset Boulevard,true,false
1951,1952,A Place in the Sun,true,false
1952,1953,The Greatest Show on Earth,true,false
1953,1954,The Robe,true,false
1954,1955,On the Waterfront,true,false
1955,1956,East of Eden,true,false
1956,1957,Around the World in 80 Days,true,false
1957,1958,The Bridge on the River Kwai,true,false
1958,1959,The Defiant Ones,true,false
1959,1960,Ben-Hur,true,false
1960,1961,Spartacus,true,false
1961,1962,The Guns of Navarone,true,false
1962,1963,Lawrence of Arabia,true,false
1963,1964,The Cardinal,true,false
1964,1965,Becket,true,false
1965,1966,Doctor Zhivago,true,false
1966,1967,A Man for All Seasons,true,false
1967,1968,In the Heat of the Night,true,false
1968,1969,The Lion in Winter,true,false
1969,1970,Anne of the Thousand Days,true,false
1970,1971,Love Story,true,false
1971,1972,The French Connection,true,false
1972,1973,The Godfather,true,false
1973,1974,The Exorcist,true,false
1974,1975,Chinatown,true,false
1975,1976,One Flew over the Cuckoo's Nest,true,false
1976,1977,Rocky,true,false
1977,1978,The Turning Point,true,false
1978,1979,Midnight Express,true,false
1979,1980,Kramer vs. Kramer,true,false
1980,1981,Ordinary People,true,false
1981,1982,On Golden Pond,true,false
1982,1983,E.T. The Extra-Terrestrial,true,false
1983,1984,Terms of Endearment,true,false
1984,1985,Amadeus,true,false
1985,1986,Out of Africa,true,false
1986,1987,Platoon,true,false
1987,1988,The Last Emperor,true,false
1988,1989,Rain Man,true,false
1989,1990,Born on the Fourth of July,true,false
1990,1991,Dances With Wolves,true,false
1991,1992,Bugsy,true,false
1992,1993,Scent of a Woman,true,false
1993,1994,Schindler's List,true,false
1994,1995,Forrest Gump,true,false
1995,1996,Sense and Sensibility,true,false
1996,1997,The English Patient,true,false
1997,1998,Titanic,true,false
1998,1999,Saving Private Ryan,true,false
1999,2000,American Beauty,true,false
2000,2001,Gladiator,true,false
2001,2002,A Beautiful Mind,true,false
2002,2003,The Hours,true,false
2003,2004,The Lord of the Rings: The Return of the King,true,false
2004,2005,The Aviator,true,false
2005,2006,Brokeback Mountain,true,false
2006,2007,Babel,true,false
2007,2008,Atonement,true,false
2008,2009,Slumdog Millionaire,true,false
2009,2010,Avatar,true,false
2010,2011,The Social Network,true,false
2011,2012,The Descendants,true,false
2012,2013,Argo,true,false
2013,2014,12 Years a Slave,true,false
2014,2015,Boyhood,true,false
2015,2016,The Revenant,true,false
2016,2017,Moonlight,true,false
2017,2018,"Three Billboards outside Ebbing, Missouri",true,false
2018,2019,Bohemian Rhapsody,true,false
2019,2020,1917,true,false
2020,2021,Nomadland,true,false
2021,2022,The Power of the Dog,true,false
2022,2023,The Fabelmans,true,false
2023,2024,Oppenheimer,true,false
2024,2025,The Brutalist,true,false
2025,2026,Hamnet,true,false
