year,actress,film,is_winner,is_tie
1994,Dianne Wiest,Bullets over Broadway,true,false
1994,Jamie Lee Curtis,True Lies,false,false
1994,Sally Field,Forrest Gump,false,false
1994,Uma Thurman,Pulp Fiction,false,false
1994,Robin Wright,Forrest Gump,false,false
1995,Kate Winslet,Sense and Sensibility,true,false
1995,Stockard Channing,Smoke,false,false
1995,Anjelica Huston,The Crossing Guard,false,false
1995,Mira Sorvino,Mighty Aphrodite,false,false
1995,Mare Winningham,Georgia,false,false
1996,Lauren Bacall,The Mirror Has Two Faces,true,false
1996,Juliette Binoche,The English Patient,false,false
1996,Marisa Tomei,Unhook the Stars,false,false
1996,Gwen Verdon,Marvin's Room,false,false
1996,Renée Zellweger,Jerry Maguire,false,false
1997,Kim Basinger,L.A. Confidential,true,false
1997,Gloria Stuart,Titanic,true,false
1997,Minnie Driver,Good Will Hunting,false,false
1997,Alison Elliott,The Wings of the Dove,false,false
1997,Julianne Moore,Boogie Nights,false,false
1998,Kathy Bates,Primary Colors,true,false
1998,Brenda Blethyn,Little Voice,false,false
1998,Judi Dench,Shakespeare in Love,false,false
1998,Rachel Griffiths,Hilary and Jackie,false,false
1998,Lynn Redgrave,Gods and Monsters,false,false
1999,Angelina Jolie,"Girl, Interrupted",true,false
1999,Cameron Diaz,Being John Malkovich,false,false
1999,Catherine Keener,Maxine Lund,false,false
1999,Julianne Moore,Magnolia,false,false
1999,Chloë Sevigny,Boys Don't Cry,false,false
2000,Judi Dench,Chocolat,true,false
2000,Kate Hudson,Almost Famous,false,false
2000,Frances McDormand,Elaine Miller,false,false
2000,Julie Walters,Billy Elliot,false,false
2000,Kate Winslet,Quills,false,false
2001,Helen Mirren,Gosford Park,true,false
2001,Cate Blanchett,Bandits,false,false
2001,Judi Dench,The Shipping News,false,false
2001,Cameron Diaz,Vanilla Sky,false,false
2001,Dakota Fanning,I Am Sam,false,false
2002,Catherine Zeta-Jones,Chicago,true,false
2002,Kathy Bates,About Schmidt,false,false
2002,Queen Latifah,Chicago,false,false
2002,Julianne Moore,The Hours,false,false
2002,Michelle Pfeiffer,White Oleander,false,false
2003,Renée Zellweger,Cold Mountain,true,false
2003,Maria Bello,The Cooler,false,false
2003,Keisha Castle-Hughes,Whale Rider,false,false
2003,Patricia Clarkson,Pieces of April,false,false
2003,Holly Hunter,Thirteen,false,false
2004,Cate Blanchett,The Aviator,true,false
2004,Cloris Leachman,Spanglish,false,false
2004,Laura Linney,Kinsey,false,false
2004,Virginia Madsen,Sideways,false,false
2004,Sophie Okonedo,Hotel Rwanda,false,false
2005,Rachel Weisz,The Constant Gardener,true,false
2005,Amy Adams,Junebug,false,false
2005,Catherine Keener,Capote,false,false
2005,Frances McDormand,North Country,false,false
2005,Michelle Williams,Brokeback Mountain,false,false
2006,Jennifer Hudson,Dreamgirls,true,false
2006,Adriana Barraza,Babel,false,false
2006,Cate Blanchett,Notes on a Scandal,false,false
2006,Abigail Breslin,Little Miss Sunshine,false,false
2006,Rinko Kikuchi,Babel,false,false
2007,Ruby Dee,American Gangster,true,false
2007,Cate Blanchett,I'm Not There,false,false
